star,review
10,  A complete disappointment. Pessimism and defeat is not supposed to be the message of Star Wars. I'd say the series has now jumped the shark but it's more apt to say it milked the space walrus.Bummer!
20,  A complete waste of its ingredients. Everything was there for this to be a good film and yet it gets it wrong over and over and over and over and over again. Seeing such high praise in critical reviews is stunning to me. No other film would have gotten such an easy ride whilst containing so many plot and pacing issues.
50,"  A richly layered piece of storytelling that properly takes its time to develop characters yet moves us right long through deft twists after surprising turns. I was fully satisfied with the answers to the questions left by TFA ... especially Rey's parentage. The resolution of which makes her even more remarkable. Have already seen this one twice on the opening weekend and will be back, again and again, to catch what I missed on the first go. Have been Jedi Ready since day one: May 25, 1977 ... bring on Episode iX ... and I hope it is just as surprising and deeply satisfying."
5,"  A star for the music, effects and cinematography (but if you throw enough money at it, it's an expected outcome). No star for poorly written characters new and old. No star for huge plot holes throughout. *SPOILER* a one-dimensional space chase - 3 slightly faster ships vs a galaxy controlling empire - seriously I thought better of Rian Johnson (Looper was an okay time travel movie and just shows how lazy he's been with this one). No star for the pacing and humour that just doesn't work, it's not smart and a lot of it's out of character for the tone of scenes it's in. No star for this marvel-like money-making machine, where's my refund? This is not a finished or competent movie. EA/Disney destroyed Battlefront and now RJ/Disney have killed Star Wars. RIP"
5,"  Absolute filth, shame on disney for trying to push this drivel. Story and character motivations make no sense what so ever. This movie ruined star wars for me which i thought would be impossible after the abysmal force awakens. DO NOT GO AND SEE THIS MOVIE!!!"
50,  Action from the beginning to the end! One of the best ones!
5,"  After waiting two years for the Last Jedi and buying my ticket on the day it came out, it is incredibly hard to write this review because I am honestly still in shock of how bad it was. The movie started out great but it soon came crashing down. I completely understand that Disney was trying to basically say that the old Star Wars universe and story are dead and that a new generation and story are born, but why would they do that in the MIDDLE of the trilogy and without answering any of the questions we've had for two years?! How in the world is JJ going to do Episode 9? Besides not answering any questions that die hard fans have been waiting to have answered for 2 years, there are tons of other things that make this movie cringe worthy. For one, the dialogue seemed like it was written with a crayon. I don't think most characters ever had sentences that were made up of more than 5 words. Also, I had no idea that the Star Wars universe was part of the Pokemon universe as well. Oh and Leia can magically fly through space and then come back to life? And we're just not gonna address that at all? It was a 2.5 hour long movie and literally nothing happened. A ship slowly being chased and running out of fuel for an hour and a half is not a plot. If I were an 8 year old kid who had never seen any Star Wars movie before it would have been great. But as a die hard Star Wars fan who has spent years of my life loving these characters, watching the movies hundreds of times, and buying merchandise, I am just plain sad. And now I don't even have faith in the Han Solo story, Episode 9, or any future Star Wars movie. Congrats, Disney... you killed my childhood."
10,"  Almost as bad as the phantom menace, the whole film was rushed, the acting and dialog is stale the comedy was awkward and wrongly timed and the plots where overdone and reused."
40,"  Any ""fan"" complaining about how stuff is missing from the books has not been paying attention because when Disney got control they released a statement that they were scrapping all cannon not in the official movies.While not a fan of this decision the fact is that it was made and it's done, and no amount of bitching about it is going to change that fact.Overall it is a ""Good"" Star Wars movie and well worth seeing on the big screen."
10,"  Arguably the worst star wars film ever made, no plot, no character development, didn't further the story in any way. Terrible humour that didn't hit the mark and bad script writing. Such a shame after the force awakens which was a masterpiece in comparison to this pile of garbage. Feel sorry for the actors that had such trash to work with."
5,  Awful movie start to finish. The storyline is ridiculous even for a star wars film. Parts of the film made absolutely no sense and the parts where u thought u were gonna get answers fall flat. I can't see how anyone could have enjoyed it
5,"  Because of this movie, I won't be paying to see any more of the Disney-made Star Wars films in the future. The best parts of The Last Jedi are directly lifted out of The Empire Strikes back, and most of the original material here is either bland, or outright destroys the hopeful magic of the Skywalker clan in the previous films."
50,  Best Star Wars film ever! The new trilogy is taking the Star Wars universe in a fantastic new direction and I love it!
50,  Best Star Wars movie to date - and I'm NOT a new fan. The movie is just beautifully made while it manages to pay tribute to the old films while it cements the foundation for something entirely new.
5,"  Butchered the star wars universe with plot holes, lackluster writing and by pushing a political agenda."
20,"  Coming out of this movie I was extremely dissapointed. There are several good things in this movie but unfortunately the bad outweighs the good. Rian Johnson takes all of what was set up in The Force Awakens and destroys it along with several plot holes. He ruins the story of Rey's parents (apparently they are just nobodies), we don't learn who Snoke is, the character of Luke is treated extremely bad, and Johnson gives us a unnecessary Finn and Rose side story that is cringe worthy. There is a really silly and laughable seen with Leia that may go down as one of the worst scenes in the history of Star Wars. Also why is there a fleet of star destroyers just shooting at one rebel ship when they can deploy all of their bombers and other ships after it? Why doesn't Admiral Holdo just tell Poe her plan to evacuate instead of just letting him mutiny against her? Perhaps one of the worst things is the new character of Rose, who apparently falls in love with Finn only hours after meeting him and she gives him one of the most cringe worthy kisses in a movie I've ever seen! And the whole point of her and Finn going on a side adventure has no point! The characterization of Luke Skywalker is a huge letdown in this movie and may be the biggest crime committed here. If they are going to kill him off anyway why not just have him show up in person at the end instead of a hologram? It is as if Rian Johnson just didn't care and basically screwed everything that was set up in The Force Awakens!Now there are several good things in this movie too. The acting is for the most part is good. There is a excellent fight scene with Kylo Ren and Rey where they fight Snoke's guards. The visuals and battles are amazing. I would say this movie had the potential to be great and it has alot of good things about it but ultimately the story direction Rian Johnson went with along with certain scenes ruins this movie for me. JJ Abrams has his hands full if he is going to be able to fix the mess this movie created with the storyline."
10,"  Disney opera with bombastic special effects and lots of green screen, an annoying post-feminist heroine and plot holes as deep as the Mariana Trench - certainly NOT Star Wars. Utterly disappointing!"
35,"  For me this falls between Rogue One and The Force Awakens in terms of my Star Wars movie ranking. I really enjoyed TFA, and I was not particularly enthused with Rogue One. I had mixed feelings about this one. Which might have been Rian Johnson's goal, but while there are plenty of movie styles/genres I watch hoping to be challenged, Star Wars movies are not one of them. At the very least, it seems to thumb its nose at TFA, which is a weird decision to make, all things considered. It still has a lot to enjoy, but if your fondest memories are of the original trilogy and its themes, brace yourself for this."
50,"  Glorious addition to the franchise that puts it back on track. Force Awaken seemed a light redux of the original, which I saw in theaters on release. ""The Last Jedi"" brings the magic back, and is a timely story line."
